Compound,Liquor
acetaldehyde,추사
"2,4-dimethylheptane",도원결의
"2,4-dimethylheptane",화주
"2,4-dimethylheptane",추사
4-methyloctane,도원결의
4-methyloctane,화주
ethyl_acetate,도원결의
ethyl_acetate,애플스피릿
ethyl_acetate,화주
ethyl_acetate,왕주
ethyl_acetate,추사백
ethyl_acetate,추사
"1,1-diethoxyethane_(acetal)",도원결의
"1,1-diethoxyethane_(acetal)",애플스피릿
"1,1-diethoxyethane_(acetal)",왕주
"1,1-diethoxyethane_(acetal)",추사백
"1,1-diethoxyethane_(acetal)",추사
"1,1-diethoxyethane_(acetal)",술샘
3-methylbutanal,화주
ethyl_alcohol,도원결의
ethyl_alcohol,애플스피릿
ethyl_alcohol,화주
ethyl_alcohol,왕주
ethyl_alcohol,추사백
ethyl_alcohol,여우목
ethyl_alcohol,추사
ethyl_alcohol,술샘
ethyl_propanoate,애플스피릿
ethyl_isobutyrate,화주
propyl_acetate,애플스피릿
"1,1-diethoxy-2-methylpropane",화주
"1,1-diethoxy-2-methylpropane",추사
decane,도원결의
decane,화주
decane,추사
4-methyldecane,도원결의
4-methyldecane,화주
4-methyldecane,추사
isobutyl_acetate,애플스피릿
isobutyl_acetate,화주
isobutyl_acetate,추사백
isobutyl_acetate,추사
ethyl_butyrate,도원결의
ethyl_butyrate,애플스피릿
ethyl_butyrate,화주
ethyl_butyrate,왕주
ethyl_butyrate,추사
1-propanol,도원결의
1-propanol,애플스피릿
1-propanol,화주
1-propanol,왕주
1-propanol,추사백
1-propanol,추사
ethyl_2-methylbutyrate,애플스피릿
ethyl_2-methylbutyrate,추사백
camphene,술샘
ethyl_isovalerate,애플스피릿
"1,1-diethoxy-2-methylbutane",화주
butyl_acetate,애플스피릿
butyl_acetate,추사
"1,1-diethoxy-3-methylbutane",화주
"2,6,10,14-t-tetramethyl_hexadecane_(phytane)",도원결의
isobutyl_alcohol,도원결의
isobutyl_alcohol,애플스피릿
isobutyl_alcohol,화주
isobutyl_alcohol,왕주
isobutyl_alcohol,추사백
isobutyl_alcohol,추사
isoamyl_acetate,도원결의
isoamyl_acetate,애플스피릿
isoamyl_acetate,화주
isoamyl_acetate,왕주
isoamyl_acetate,추사백
isoamyl_acetate,추사
p-xylene,화주
p-xylene,추사
m-xylene,화주
m-xylene,추사
β-mycene,술샘
1-butanol,도원결의
1-butanol,화주
1-butanol,왕주
1-butanol,추사백
ethyl_2-butenoate,애플스피릿
α-terpinene,술샘
isocineole,술샘
amyl_propionate,애플스피릿
dodecane,도원결의
dodecane,추사
limonene,도원결의
limonene,애플스피릿
limonene,화주
limonene,왕주
limonene,추사백
limonene,추사
limonene,술샘
"1,8-cineol",여우목
"1,8-cineol",술샘
isoamyl_alcohol,도원결의
isoamyl_alcohol,애플스피릿
isoamyl_alcohol,화주
isoamyl_alcohol,왕주
isoamyl_alcohol,추사백
isoamyl_alcohol,여우목
isoamyl_alcohol,추사
2-pentylfuran,화주
ethyl_caproate,도원결의
ethyl_caproate,애플스피릿
ethyl_caproate,화주
ethyl_caproate,추사백
ethyl_caproate,여우목
ethyl_caproate,추사
ethyl_caproate,술샘
isoamyl_butyrate,애플스피릿
o-cymene,왕주
o-cymene,술샘
styrene,화주
hexyl_acetate,애플스피릿
hexyl_acetate,화주
hexyl_acetate,왕주
hexyl_acetate,추사백
hexyl_acetate,여우목
hexyl_acetate,추사
z-3-hexenyl_acetate,도원결의
z-3-hexenyl_acetate,애플스피릿
e-2-heptenal,술샘
trans-2-hexenyl_acetate,애플스피릿
trans-2-hexenyl_acetate,왕주
trans-2-hexenyl_acetate,추사백
trans-2-hexenyl_acetate,추사
ethyl_heptanoate,화주
6-methyl-5-hepten-2-one,술샘
ethyl_lactate,애플스피릿
ethyl_lactate,화주
1-hexanol,애플스피릿
1-hexanol,화주
1-hexanol,왕주
1-hexanol,추사백
1-hexanol,추사
rose_oxide,술샘
methyl_octanoate,애플스피릿
2-nonanone,애플스피릿
2-nonanone,추사백
2-nonanone,술샘
e-2-hexen-1-ol,애플스피릿
"1,3-bis(1,1-dimethylethyl)benzene",도원결의
"1,3-bis(1,1-dimethylethyl)benzene",애플스피릿
"1,3-bis(1,1-dimethylethyl)benzene",화주
"1,3-bis(1,1-dimethylethyl)benzene",왕주
"1,3-bis(1,1-dimethylethyl)benzene",추사백
"1,3-bis(1,1-dimethylethyl)benzene",여우목
"1,3-bis(1,1-dimethylethyl)benzene",추사
"1,3-bis(1,1-dimethylethyl)benzene",술샘
e-2-octenal,술샘
ethyl_caprylate,도원결의
ethyl_caprylate,애플스피릿
ethyl_caprylate,화주
ethyl_caprylate,왕주
ethyl_caprylate,추사백
ethyl_caprylate,여우목
ethyl_caprylate,추사
ethyl_caprylate,술샘
"1,2,3,4-tetramethylbenzene",왕주
"1,2,3,4-tetramethylbenzene",여우목
isoamyl_caproate,추사백
acetic_acid,왕주
acetic_acid,추사
furfural,애플스피릿
furfural,화주
furfural,여우목
furfural,추사
furfural,술샘
2-ethylhexanol,여우목
ethyl_sorbate,추사백
propyl_octanoate,추사백
propyl_octanoate,추사
ethyl_nonanoate,애플스피릿
ethyl_nonanoate,화주
ethyl_nonanoate,추사백
ethyl_nonanoate,여우목
ethyl_nonanoate,추사
benzaldehyde,도원결의
benzaldehyde,화주
benzaldehyde,왕주
benzaldehyde,추사백
benzaldehyde,여우목
linalool,술샘
vitispirane,애플스피릿
vitispirane,추사
isobutyl_caprylate,추사
2-hydroxy-4-methyl_pentanoic_acid_ethyl_ester,화주
1-octanol,애플스피릿
1-octanol,추사백
1-octanol,추사
methyl_citronellate,술샘
2-undecanone,추사백
nonyl_acetate,추사
5-methyl-2-furfural,추사
hexadecane,추사
methyl_caprate,추사
propylene_glycol,애플스피릿
2-undecanone,추사
2-undecanone,술샘
hexyl_hexanoate,추사
4-terpineol,여우목
4-terpineol,술샘
"cis-2,6-dimethyl-2,6-octadiene",추사백
"cis-2,6-dimethyl-2,6-octadiene",여우목
ethyl_decanoate,도원결의
ethyl_decanoate,애플스피릿
ethyl_decanoate,화주
ethyl_decanoate,왕주
ethyl_decanoate,추사백
ethyl_decanoate,여우목
ethyl_decanoate,추사
ethyl_decanoate,술샘
