,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
No.,RT1),RI,Compound name,"Aroma description
 (Threshold)",Concentration2),,,,,,,,,,i.d3),
,,,,,도원결의 (40%) ,애플스피릿 (20%),화주 (40%),왕주 (40%),추사백 (25%),여우목 (21%),추사 (40%),술샘 (16%),필 (25%),미르 (25%),,
1,6.104,<800,acetaldehyde,,,,,,,,0.29±0.09,,,,,
2,7.433,<800,"2,4-Dimethylheptane",Pungent plastic  (resin),0.36±0.03,,0.24±0.04,,,,0.12±0.03,,,,"MS,RI",o
3,8.438,827,4-Methyloctane,,0.21±0.01,,0.08±0.01,,,,,,,,"MS,RI",o
4,9.267,868,Ethyl acetate," dry fruity, Brandy-like",0.18±0.07,1.26±0.17,14.32±2.74,2.63±0.46,2.95±0.42,,11.39±1.72,,,,"MS,RI",o
5,9.381,873,"1,1-Diethoxyethane (acetal)",,1.00±0.19,1.01±0.04,,2.36±0.47,2.91±0.42,,5.87±2.47,Tr4),,,"MS,RI",o
6,10.092,906,3-methylbutanal,"Malty, Nutty, Almond, Cocoa",,,1.20±0.04,,,,,,,,"MS,RI",o
7,11.225,946,Ethyl alcohol,,94.39±11.51,23.77±0.26,94.05±25.67,125.30±3.86,38.20±5.37,20.63±0.10,124.98±37.67,10.60±1.01,,,"MS,RI",o
8,11.4,952,Ethyl propanoate,"fruity, pineapple",,4.41±0.42,,,,,,,,,"MS,RI",o
9,11.65,961,Ethyl isobutyrate,fruity,,,0.39±0.06,,,,,,,,"MS,RI",o
10,11.891,969,Propyl acetate,"Pleasant, fruity",,0.31±0.03,,,,,,,,,"MS,RI",o
11,11.945,971,"1,1-diethoxy-2-methylpropane",,,,0.87±0.18,,,,0.54±0.17,,,,"MS,RI",o
12,12.691,997,Decane,gasoline like,0.84±0.02,,0.93±0.07,,,,0.74±0.28,,,,"MS,RI",o
14,12.826,1002, 4-methyldecane,,0.30±0.02,,0.36±0.00,,,,0.20±0.06,,,,"MS,RI",o
15,13.093,1010,isobutyl acetate,,,0.03±0.01,0.29±0.02,,0.22±0.01,,0.24±0.06,,,,"MS,RI",o
18,13.889,1035,Ethyl butyrate,,0.14±0.01,0.61±0.05,0.11±0.01,0.16±0.02,,,0.40±0.08,,,,"MS,RI",o
19,14.132,1043,1-Propanol,,0.20±0.01,0.17±0.01,0.91±0.26,0.74±0.16,0.27±0.02,,1.31±0.33,,,,"MS,RI",o
20,14.434,1052,Ethyl 2-methylbutyrate,,,1.12±0.09,,,0.18±0.01,,,,,,"MS,RI",o
21,14.862,1066,camphene,,,,,,,,,0.01±0.01,,,"MS,RI",o
22,14.942,1068,Ethyl isovalerate,,,0.06±0.01,,,,,,,,,"MS,RI",o
